"ID,N,10,0","XCOORD,N,21,6","YCOORD,N,21,6"
7901,222000.000000,9843000.000000
9477,286000.000000,9831000.000000
12535,38000.000000,9807000.000000
15766,482000.000000,9783000.000000
15767,486000.000000,9783000.000000
16280,458000.000000,9779000.000000
16281,462000.000000,9779000.000000
16282,466000.000000,9779000.000000
16283,470000.000000,9779000.000000
16284,474000.000000,9779000.000000
16285,478000.000000,9779000.000000
16286,482000.000000,9779000.000000
16287,486000.000000,9779000.000000
16288,490000.000000,9779000.000000
16289,494000.000000,9779000.000000
16290,498000.000000,9779000.000000
16291,502000.000000,9779000.000000
16292,506000.000000,9779000.000000
16293,510000.000000,9779000.000000
16294,514000.000000,9779000.000000
16295,518000.000000,9779000.000000
16799,454000.000000,9775000.000000
16800,458000.000000,9775000.000000
16801,462000.000000,9775000.000000
16802,466000.000000,9775000.000000
16803,470000.000000,9775000.000000
16804,474000.000000,9775000.000000
16805,478000.000000,9775000.000000
16806,482000.000000,9775000.000000
16807,486000.000000,9775000.000000
16808,490000.000000,9775000.000000
16809,494000.000000,9775000.000000
16810,498000.000000,9775000.000000
16811,502000.000000,9775000.000000
16812,506000.000000,9775000.000000
16813,510000.000000,9775000.000000
16814,514000.000000,9775000.000000
16815,518000.000000,9775000.000000
16816,522000.000000,9775000.000000
16817,526000.000000,9775000.000000
16818,530000.000000,9775000.000000
16822,546000.000000,9775000.000000
16832,586000.000000,9775000.000000
17320,458000.000000,9771000.000000
17321,462000.000000,9771000.000000
17322,466000.000000,9771000.000000
17323,470000.000000,9771000.000000
17324,474000.000000,9771000.000000
17325,478000.000000,9771000.000000
17326,482000.000000,9771000.000000
17327,486000.000000,9771000.000000
17328,490000.000000,9771000.000000
17329,494000.000000,9771000.000000
17330,498000.000000,9771000.000000
17331,502000.000000,9771000.000000
17332,506000.000000,9771000.000000
17333,510000.000000,9771000.000000
17334,514000.000000,9771000.000000
17335,518000.000000,9771000.000000
17336,522000.000000,9771000.000000
17337,526000.000000,9771000.000000
17338,530000.000000,9771000.000000
17340,538000.000000,9771000.000000
17342,546000.000000,9771000.000000
17840,458000.000000,9767000.000000
17841,462000.000000,9767000.000000
17842,466000.000000,9767000.000000
17843,470000.000000,9767000.000000
17844,474000.000000,9767000.000000
17845,478000.000000,9767000.000000
17846,482000.000000,9767000.000000
17847,486000.000000,9767000.000000
17848,490000.000000,9767000.000000
17849,494000.000000,9767000.000000
17850,498000.000000,9767000.000000
17851,502000.000000,9767000.000000
17852,506000.000000,9767000.000000
17853,510000.000000,9767000.000000
17854,514000.000000,9767000.000000
17855,518000.000000,9767000.000000
17856,522000.000000,9767000.000000
