"ID,N,10,0","XCOORD,N,21,6","YCOORD,N,21,6"
58846,162000.000000,9451000.000000
58847,166000.000000,9451000.000000
58848,170000.000000,9451000.000000
58849,174000.000000,9451000.000000
59358,130000.000000,9447000.000000
59359,134000.000000,9447000.000000
59360,138000.000000,9447000.000000
59361,142000.000000,9447000.000000
59362,146000.000000,9447000.000000
59363,150000.000000,9447000.000000
59364,154000.000000,9447000.000000
59365,158000.000000,9447000.000000
59366,162000.000000,9447000.000000
59367,166000.000000,9447000.000000
59368,170000.000000,9447000.000000
59369,174000.000000,9447000.000000
59370,178000.000000,9447000.000000
59371,182000.000000,9447000.000000
59871,102000.000000,9443000.000000
59872,106000.000000,9443000.000000
59873,110000.000000,9443000.000000
59874,114000.000000,9443000.000000
59875,118000.000000,9443000.000000
59876,122000.000000,9443000.000000
59877,126000.000000,9443000.000000
59878,130000.000000,9443000.000000
59879,134000.000000,9443000.000000
59880,138000.000000,9443000.000000
59881,142000.000000,9443000.000000
59882,146000.000000,9443000.000000
59883,150000.000000,9443000.000000
59884,154000.000000,9443000.000000
59885,158000.000000,9443000.000000
59886,162000.000000,9443000.000000
59887,166000.000000,9443000.000000
59888,170000.000000,9443000.000000
59889,174000.000000,9443000.000000
59890,178000.000000,9443000.000000
59891,182000.000000,9443000.000000
59892,186000.000000,9443000.000000
60363,-10000.000000,9439000.000000
60364,-6000.000000,9439000.000000
60383,70000.000000,9439000.000000
60384,74000.000000,9439000.000000
60385,78000.000000,9439000.000000
60386,82000.000000,9439000.000000
60387,86000.000000,9439000.000000
60388,90000.000000,9439000.000000
60389,94000.000000,9439000.000000
60390,98000.000000,9439000.000000
60391,102000.000000,9439000.000000
60392,106000.000000,9439000.000000
60393,110000.000000,9439000.000000
60394,114000.000000,9439000.000000
60395,118000.000000,9439000.000000
60396,122000.000000,9439000.000000
60397,126000.000000,9439000.000000
60398,130000.000000,9439000.000000
60399,134000.000000,9439000.000000
60400,138000.000000,9439000.000000
60401,142000.000000,9439000.000000
60402,146000.000000,9439000.000000
60403,150000.000000,9439000.000000
60404,154000.000000,9439000.000000
60405,158000.000000,9439000.000000
60406,162000.000000,9439000.000000
60407,166000.000000,9439000.000000
60408,170000.000000,9439000.000000
60409,174000.000000,9439000.000000
60410,178000.000000,9439000.000000
60411,182000.000000,9439000.000000
60412,186000.000000,9439000.000000
60413,190000.000000,9439000.000000
60880,-22000.000000,9435000.000000
60881,-18000.000000,9435000.000000
60882,-14000.000000,9435000.000000
60883,-10000.000000,9435000.000000
60884,-6000.000000,9435000.000000
60885,-2000.000000,9435000.000000
60886,2000.000000,9435000.000000
60887,6000.000000,9435000.000000
60888,10000.000000,9435000.000000
60889,14000.000000,9435000.000000
60890,18000.000000,9435000.000000
60891,22000.000000,9435000.000000
60892,26000.000000,9435000.000000
60893,30000.000000,9435000.000000
60898,50000.000000,9435000.000000
60899,54000.000000,9435000.000000
60900,58000.000000,9435000.000000
60901,62000.000000,9435000.000000
60902,66000.000000,9435000.000000
60903,70000.000000,9435000.000000
60904,74000.000000,9435000.000000
60905,78000.000000,9435000.000000
60906,82000.000000,9435000.000000
60907,86000.000000,9435000.000000
60908,90000.000000,9435000.000000
60909,94000.000000,9435000.000000
60910,98000.000000,9435000.000000
60911,102000.000000,9435000.000000
60912,106000.000000,9435000.000000
60913,110000.000000,9435000.000000
60914,114000.000000,9435000.000000
60915,118000.000000,9435000.000000
60916,122000.000000,9435000.000000
60917,126000.000000,9435000.000000
60918,130000.000000,9435000.000000
60919,134000.000000,9435000.000000
60920,138000.000000,9435000.000000
60921,142000.000000,9435000.000000
60922,146000.000000,9435000.000000
60923,150000.000000,9435000.000000
60924,154000.000000,9435000.000000
60925,158000.000000,9435000.000000
60926,162000.000000,9435000.000000
60927,166000.000000,9435000.000000
60928,170000.000000,9435000.000000
60929,174000.000000,9435000.000000
60930,178000.000000,9435000.000000
60931,182000.000000,9435000.000000
60932,186000.000000,9435000.000000
60933,190000.000000,9435000.000000
60934,194000.000000,9435000.000000
61399,-26000.000000,9431000.000000
61400,-22000.000000,9431000.000000
61401,-18000.000000,9431000.000000
61402,-14000.000000,9431000.000000
61403,-10000.000000,9431000.000000
61404,-6000.000000,9431000.000000
61405,-2000.000000,9431000.000000
61406,2000.000000,9431000.000000
61407,6000.000000,9431000.000000
61408,10000.000000,9431000.000000
61409,14000.000000,9431000.000000
61410,18000.000000,9431000.000000
61411,22000.000000,9431000.000000
61412,26000.000000,9431000.000000
61413,30000.000000,9431000.000000
61414,34000.000000,9431000.000000
61415,38000.000000,9431000.000000
61416,42000.000000,9431000.000000
61417,46000.000000,9431000.000000
61418,50000.000000,9431000.000000
61419,54000.000000,9431000.000000
61420,58000.000000,9431000.000000
61421,62000.000000,9431000.000000
61422,66000.000000,9431000.000000
61423,70000.000000,9431000.000000
61424,74000.000000,9431000.000000
61425,78000.000000,9431000.000000
61426,82000.000000,9431000.000000
61427,86000.000000,9431000.000000
61428,90000.000000,9431000.000000
61429,94000.000000,9431000.000000
61430,98000.000000,9431000.000000
61431,102000.000000,9431000.000000
61432,106000.000000,9431000.000000
61433,110000.000000,9431000.000000
61434,114000.000000,9431000.000000
61435,118000.000000,9431000.000000
61436,122000.000000,9431000.000000
61437,126000.000000,9431000.000000
61438,130000.000000,9431000.000000
61439,134000.000000,9431000.000000
61440,138000.000000,9431000.000000
61441,142000.000000,9431000.000000
61442,146000.000000,9431000.000000
61443,150000.000000,9431000.000000
61444,154000.000000,9431000.000000
61445,158000.000000,9431000.000000
61446,162000.000000,9431000.000000
61447,166000.000000,9431000.000000
61448,170000.000000,9431000.000000
61449,174000.000000,9431000.000000
61450,178000.000000,9431000.000000
61451,182000.000000,9431000.000000
61452,186000.000000,9431000.000000
61453,190000.000000,9431000.000000
61454,194000.000000,9431000.000000
61455,198000.000000,9431000.000000
61920,-22000.000000,9427000.000000
61921,-18000.000000,9427000.000000
61922,-14000.000000,9427000.000000
61923,-10000.000000,9427000.000000
61924,-6000.000000,9427000.000000
61925,-2000.000000,9427000.000000
61926,2000.000000,9427000.000000
61927,6000.000000,9427000.000000
61928,10000.000000,9427000.000000
61929,14000.000000,9427000.000000
61930,18000.000000,9427000.000000
61931,22000.000000,9427000.000000
61932,26000.000000,9427000.000000
61933,30000.000000,9427000.000000
61934,34000.000000,9427000.000000
61935,38000.000000,9427000.000000
61936,42000.000000,9427000.000000
61937,46000.000000,9427000.000000
61938,50000.000000,9427000.000000
61939,54000.000000,9427000.000000
61940,58000.000000,9427000.000000
61941,62000.000000,9427000.000000
61942,66000.000000,9427000.000000
61943,70000.000000,9427000.000000
61944,74000.000000,9427000.000000
61945,78000.000000,9427000.000000
61946,82000.000000,9427000.000000
61947,86000.000000,9427000.000000
61948,90000.000000,9427000.000000
61949,94000.000000,9427000.000000
61950,98000.000000,9427000.000000
61951,102000.000000,9427000.000000
61952,106000.000000,9427000.000000
61953,110000.000000,9427000.000000
61954,114000.000000,9427000.000000
61955,118000.000000,9427000.000000
61956,122000.000000,9427000.000000
61957,126000.000000,9427000.000000
61958,130000.000000,9427000.000000
61959,134000.000000,9427000.000000
61960,138000.000000,9427000.000000
61961,142000.000000,9427000.000000
61962,146000.000000,9427000.000000
61963,150000.000000,9427000.000000
61964,154000.000000,9427000.000000
61965,158000.000000,9427000.000000
61966,162000.000000,9427000.000000
61967,166000.000000,9427000.000000
61968,170000.000000,9427000.000000
61969,174000.000000,9427000.000000
61970,178000.000000,9427000.000000
61971,182000.000000,9427000.000000
61972,186000.000000,9427000.000000
61973,190000.000000,9427000.000000
61974,194000.000000,9427000.000000
61975,198000.000000,9427000.000000
61976,202000.000000,9427000.000000
62440,-22000.000000,9423000.000000
62441,-18000.000000,9423000.000000
62442,-14000.000000,9423000.000000
62443,-10000.000000,9423000.000000
62444,-6000.000000,9423000.000000
62445,-2000.000000,9423000.000000
62446,2000.000000,9423000.000000
62447,6000.000000,9423000.000000
62448,10000.000000,9423000.000000
62449,14000.000000,9423000.000000
62450,18000.000000,9423000.000000
62451,22000.000000,9423000.000000
62452,26000.000000,9423000.000000
62453,30000.000000,9423000.000000
62454,34000.000000,9423000.000000
62455,38000.000000,9423000.000000
62456,42000.000000,9423000.000000
62457,46000.000000,9423000.000000
62458,50000.000000,9423000.000000
62459,54000.000000,9423000.000000
62460,58000.000000,9423000.000000
62461,62000.000000,9423000.000000
62462,66000.000000,9423000.000000
62463,70000.000000,9423000.000000
62464,74000.000000,9423000.000000
62465,78000.000000,9423000.000000
62466,82000.000000,9423000.000000
62467,86000.000000,9423000.000000
62468,90000.000000,9423000.000000
62469,94000.000000,9423000.000000
62470,98000.000000,9423000.000000
62471,102000.000000,9423000.000000
62472,106000.000000,9423000.000000
62473,110000.000000,9423000.000000
62474,114000.000000,9423000.000000
62475,118000.000000,9423000.000000
62476,122000.000000,9423000.000000
62477,126000.000000,9423000.000000
62478,130000.000000,9423000.000000
62479,134000.000000,9423000.000000
62480,138000.000000,9423000.000000
62481,142000.000000,9423000.000000
62482,146000.000000,9423000.000000
62483,150000.000000,9423000.000000
62484,154000.000000,9423000.000000
62485,158000.000000,9423000.000000
62486,162000.000000,9423000.000000
62487,166000.000000,9423000.000000
62488,170000.000000,9423000.000000
62489,174000.000000,9423000.000000
62490,178000.000000,9423000.000000
62491,182000.000000,9423000.000000
62492,186000.000000,9423000.000000
62493,190000.000000,9423000.000000
62494,194000.000000,9423000.000000
62495,198000.000000,9423000.000000
62496,202000.000000,9423000.000000
62961,-18000.000000,9419000.000000
62962,-14000.000000,9419000.000000
62963,-10000.000000,9419000.000000
62964,-6000.000000,9419000.000000
62965,-2000.000000,9419000.000000
62966,2000.000000,9419000.000000
62967,6000.000000,9419000.000000
62968,10000.000000,9419000.000000
62969,14000.000000,9419000.000000
62970,18000.000000,9419000.000000
62971,22000.000000,9419000.000000
62972,26000.000000,9419000.000000
62973,30000.000000,9419000.000000
62974,34000.000000,9419000.000000
62975,38000.000000,9419000.000000
62976,42000.000000,9419000.000000
62977,46000.000000,9419000.000000
62978,50000.000000,9419000.000000
62979,54000.000000,9419000.000000
62980,58000.000000,9419000.000000
62981,62000.000000,9419000.000000
62982,66000.000000,9419000.000000
62983,70000.000000,9419000.000000
62984,74000.000000,9419000.000000
62985,78000.000000,9419000.000000
62986,82000.000000,9419000.000000
62987,86000.000000,9419000.000000
62988,90000.000000,9419000.000000
62989,94000.000000,9419000.000000
62990,98000.000000,9419000.000000
62991,102000.000000,9419000.000000
62992,106000.000000,9419000.000000
62993,110000.000000,9419000.000000
62994,114000.000000,9419000.000000
62995,118000.000000,9419000.000000
62996,122000.000000,9419000.000000
62997,126000.000000,9419000.000000
62998,130000.000000,9419000.000000
62999,134000.000000,9419000.000000
63000,138000.000000,9419000.000000
63001,142000.000000,9419000.000000
63002,146000.000000,9419000.000000
63003,150000.000000,9419000.000000
63004,154000.000000,9419000.000000
63005,158000.000000,9419000.000000
63006,162000.000000,9419000.000000
63007,166000.000000,9419000.000000
63008,170000.000000,9419000.000000
63009,174000.000000,9419000.000000
63010,178000.000000,9419000.000000
63011,182000.000000,9419000.000000
63012,186000.000000,9419000.000000
63013,190000.000000,9419000.000000
63014,194000.000000,9419000.000000
63015,198000.000000,9419000.000000
63016,202000.000000,9419000.000000
63480,-22000.000000,9415000.000000
63481,-18000.000000,9415000.000000
63482,-14000.000000,9415000.000000
63483,-10000.000000,9415000.000000
63484,-6000.000000,9415000.000000
63485,-2000.000000,9415000.000000
63486,2000.000000,9415000.000000
63487,6000.000000,9415000.000000
63488,10000.000000,9415000.000000
63489,14000.000000,9415000.000000
63490,18000.000000,9415000.000000
63491,22000.000000,9415000.000000
63492,26000.000000,9415000.000000
63493,30000.000000,9415000.000000
63494,34000.000000,9415000.000000
63495,38000.000000,9415000.000000
63496,42000.000000,9415000.000000
63497,46000.000000,9415000.000000
63498,50000.000000,9415000.000000
63499,54000.000000,9415000.000000
63500,58000.000000,9415000.000000
63501,62000.000000,9415000.000000
63502,66000.000000,9415000.000000
63503,70000.000000,9415000.000000
63504,74000.000000,9415000.000000
63505,78000.000000,9415000.000000
63506,82000.000000,9415000.000000
63507,86000.000000,9415000.000000
63508,90000.000000,9415000.000000
63509,94000.000000,9415000.000000
63510,98000.000000,9415000.000000
63511,102000.000000,9415000.000000
63512,106000.000000,9415000.000000
63513,110000.000000,9415000.000000
63514,114000.000000,9415000.000000
63515,118000.000000,9415000.000000
63516,122000.000000,9415000.000000
63517,126000.000000,9415000.000000
63518,130000.000000,9415000.000000
63519,134000.000000,9415000.000000
63520,138000.000000,9415000.000000
63521,142000.000000,9415000.000000
63522,146000.000000,9415000.000000
63523,150000.000000,9415000.000000
63524,154000.000000,9415000.000000
63525,158000.000000,9415000.000000
63526,162000.000000,9415000.000000
63527,166000.000000,9415000.000000
63528,170000.000000,9415000.000000
63529,174000.000000,9415000.000000
63530,178000.000000,9415000.000000
63531,182000.000000,9415000.000000
63532,186000.000000,9415000.000000
63533,190000.000000,9415000.000000
63534,194000.000000,9415000.000000
63535,198000.000000,9415000.000000
63536,202000.000000,9415000.000000
63999,-26000.000000,9411000.000000
64000,-22000.000000,9411000.000000
64001,-18000.000000,9411000.000000
64002,-14000.000000,9411000.000000
64003,-10000.000000,9411000.000000
64004,-6000.000000,9411000.000000
64005,-2000.000000,9411000.000000
64006,2000.000000,9411000.000000
64007,6000.000000,9411000.000000
64008,10000.000000,9411000.000000
64009,14000.000000,9411000.000000
64010,18000.000000,9411000.000000
64011,22000.000000,9411000.000000
64012,26000.000000,9411000.000000
64013,30000.000000,9411000.000000
64014,34000.000000,9411000.000000
64015,38000.000000,9411000.000000
64016,42000.000000,9411000.000000
64017,46000.000000,9411000.000000
64018,50000.000000,9411000.000000
64019,54000.000000,9411000.000000
64020,58000.000000,9411000.000000
64021,62000.000000,9411000.000000
64022,66000.000000,9411000.000000
64023,70000.000000,9411000.000000
64024,74000.000000,9411000.000000
64025,78000.000000,9411000.000000
64026,82000.000000,9411000.000000
64027,86000.000000,9411000.000000
64028,90000.000000,9411000.000000
64029,94000.000000,9411000.000000
64030,98000.000000,9411000.000000
64031,102000.000000,9411000.000000
64032,106000.000000,9411000.000000
64033,110000.000000,9411000.000000
64034,114000.000000,9411000.000000
64035,118000.000000,9411000.000000
64036,122000.000000,9411000.000000
64037,126000.000000,9411000.000000
64038,130000.000000,9411000.000000
64039,134000.000000,9411000.000000
64040,138000.000000,9411000.000000
64041,142000.000000,9411000.000000
64042,146000.000000,9411000.000000
64043,150000.000000,9411000.000000
64044,154000.000000,9411000.000000
64045,158000.000000,9411000.000000
64046,162000.000000,9411000.000000
64047,166000.000000,9411000.000000
64048,170000.000000,9411000.000000
64049,174000.000000,9411000.000000
64050,178000.000000,9411000.000000
64051,182000.000000,9411000.000000
64052,186000.000000,9411000.000000
64053,190000.000000,9411000.000000
64054,194000.000000,9411000.000000
64055,198000.000000,9411000.000000
64056,202000.000000,9411000.000000
64518,-30000.000000,9407000.000000
64519,-26000.000000,9407000.000000
64520,-22000.000000,9407000.000000
64521,-18000.000000,9407000.000000
64522,-14000.000000,9407000.000000
64523,-10000.000000,9407000.000000
64524,-6000.000000,9407000.000000
64525,-2000.000000,9407000.000000
64526,2000.000000,9407000.000000
64527,6000.000000,9407000.000000
64528,10000.000000,9407000.000000
64529,14000.000000,9407000.000000
64530,18000.000000,9407000.000000
64531,22000.000000,9407000.000000
64532,26000.000000,9407000.000000
64533,30000.000000,9407000.000000
64534,34000.000000,9407000.000000
64535,38000.000000,9407000.000000
64536,42000.000000,9407000.000000
64537,46000.000000,9407000.000000
64538,50000.000000,9407000.000000
64539,54000.000000,9407000.000000
64540,58000.000000,9407000.000000
64541,62000.000000,9407000.000000
64542,66000.000000,9407000.000000
64543,70000.000000,9407000.000000
64544,74000.000000,9407000.000000
64545,78000.000000,9407000.000000
64546,82000.000000,9407000.000000
64547,86000.000000,9407000.000000
64548,90000.000000,9407000.000000
64549,94000.000000,9407000.000000
64550,98000.000000,9407000.000000
64551,102000.000000,9407000.000000
64552,106000.000000,9407000.000000
64553,110000.000000,9407000.000000
64554,114000.000000,9407000.000000
64555,118000.000000,9407000.000000
64556,122000.000000,9407000.000000
64557,126000.000000,9407000.000000
64558,130000.000000,9407000.000000
64559,134000.000000,9407000.000000
64560,138000.000000,9407000.000000
64561,142000.000000,9407000.000000
64562,146000.000000,9407000.000000
64563,150000.000000,9407000.000000
64564,154000.000000,9407000.000000
64565,158000.000000,9407000.000000
64566,162000.000000,9407000.000000
64567,166000.000000,9407000.000000
64568,170000.000000,9407000.000000
64569,174000.000000,9407000.000000
64570,178000.000000,9407000.000000
64571,182000.000000,9407000.000000
