"ID,N,10,0","XCOORD,N,21,6","YCOORD,N,21,6"
63627,566000.000000,9415000.000000
64146,562000.000000,9411000.000000
64147,566000.000000,9411000.000000
65200,618000.000000,9403000.000000
65201,622000.000000,9403000.000000
66232,586000.000000,9395000.000000
66233,590000.000000,9395000.000000
66234,594000.000000,9395000.000000
66752,586000.000000,9391000.000000
66753,590000.000000,9391000.000000
66754,594000.000000,9391000.000000
67272,586000.000000,9387000.000000
67273,590000.000000,9387000.000000
67274,594000.000000,9387000.000000
67275,598000.000000,9387000.000000
67276,602000.000000,9387000.000000
67277,606000.000000,9387000.000000
67792,586000.000000,9383000.000000
67793,590000.000000,9383000.000000
67794,594000.000000,9383000.000000
67795,598000.000000,9383000.000000
67796,602000.000000,9383000.000000
67797,606000.000000,9383000.000000
67798,610000.000000,9383000.000000
67799,614000.000000,9383000.000000
68312,586000.000000,9379000.000000
68313,590000.000000,9379000.000000
68314,594000.000000,9379000.000000
68315,598000.000000,9379000.000000
68316,602000.000000,9379000.000000
68317,606000.000000,9379000.000000
68318,610000.000000,9379000.000000
68319,614000.000000,9379000.000000
68320,618000.000000,9379000.000000
68833,590000.000000,9375000.000000
68834,594000.000000,9375000.000000
68835,598000.000000,9375000.000000
68836,602000.000000,9375000.000000
68837,606000.000000,9375000.000000
68838,610000.000000,9375000.000000
68839,614000.000000,9375000.000000
68840,618000.000000,9375000.000000
69355,598000.000000,9371000.000000
69356,602000.000000,9371000.000000
69357,606000.000000,9371000.000000
69358,610000.000000,9371000.000000
69359,614000.000000,9371000.000000
69360,618000.000000,9371000.000000
69875,598000.000000,9367000.000000
69876,602000.000000,9367000.000000
69877,606000.000000,9367000.000000
69878,610000.000000,9367000.000000
69879,614000.000000,9367000.000000
69880,618000.000000,9367000.000000
70396,602000.000000,9363000.000000
70397,606000.000000,9363000.000000
70398,610000.000000,9363000.000000
70399,614000.000000,9363000.000000
70918,610000.000000,9359000.000000
70919,614000.000000,9359000.000000
71402,466000.000000,9355000.000000
71403,470000.000000,9355000.000000
71404,474000.000000,9355000.000000
71920,458000.000000,9351000.000000
71921,462000.000000,9351000.000000
71922,466000.000000,9351000.000000
71923,470000.000000,9351000.000000
71924,474000.000000,9351000.000000
71925,478000.000000,9351000.000000
71926,482000.000000,9351000.000000
71927,486000.000000,9351000.000000
71928,490000.000000,9351000.000000
72438,450000.000000,9347000.000000
72439,454000.000000,9347000.000000
72440,458000.000000,9347000.000000
72441,462000.000000,9347000.000000
