"ID,N,10,0","XCOORD,N,21,6","YCOORD,N,21,6"
25484,-166000.000000,9707000.000000
25485,-162000.000000,9707000.000000
25486,-158000.000000,9707000.000000
25487,-154000.000000,9707000.000000
25489,-146000.000000,9707000.000000
26004,-166000.000000,9703000.000000
26005,-162000.000000,9703000.000000
26006,-158000.000000,9703000.000000
26007,-154000.000000,9703000.000000
26008,-150000.000000,9703000.000000
26009,-146000.000000,9703000.000000
26010,-142000.000000,9703000.000000
26011,-138000.000000,9703000.000000
26012,-134000.000000,9703000.000000
26524,-166000.000000,9699000.000000
26525,-162000.000000,9699000.000000
26526,-158000.000000,9699000.000000
26527,-154000.000000,9699000.000000
26528,-150000.000000,9699000.000000
26529,-146000.000000,9699000.000000
26530,-142000.000000,9699000.000000
26531,-138000.000000,9699000.000000
26532,-134000.000000,9699000.000000
27044,-166000.000000,9695000.000000
27045,-162000.000000,9695000.000000
27046,-158000.000000,9695000.000000
27047,-154000.000000,9695000.000000
27048,-150000.000000,9695000.000000
27049,-146000.000000,9695000.000000
27050,-142000.000000,9695000.000000
27051,-138000.000000,9695000.000000
27052,-134000.000000,9695000.000000
27053,-130000.000000,9695000.000000
27054,-126000.000000,9695000.000000
27055,-122000.000000,9695000.000000
27564,-166000.000000,9691000.000000
27565,-162000.000000,9691000.000000
27566,-158000.000000,9691000.000000
27567,-154000.000000,9691000.000000
27568,-150000.000000,9691000.000000
27569,-146000.000000,9691000.000000
27570,-142000.000000,9691000.000000
27571,-138000.000000,9691000.000000
27572,-134000.000000,9691000.000000
27573,-130000.000000,9691000.000000
27574,-126000.000000,9691000.000000
27575,-122000.000000,9691000.000000
27576,-118000.000000,9691000.000000
27577,-114000.000000,9691000.000000
27578,-110000.000000,9691000.000000
28084,-166000.000000,9687000.000000
28085,-162000.000000,9687000.000000
28086,-158000.000000,9687000.000000
28087,-154000.000000,9687000.000000
28088,-150000.000000,9687000.000000
28089,-146000.000000,9687000.000000
28090,-142000.000000,9687000.000000
28091,-138000.000000,9687000.000000
28092,-134000.000000,9687000.000000
28093,-130000.000000,9687000.000000
28094,-126000.000000,9687000.000000
28095,-122000.000000,9687000.000000
28096,-118000.000000,9687000.000000
28097,-114000.000000,9687000.000000
28098,-110000.000000,9687000.000000
28099,-106000.000000,9687000.000000
28100,-102000.000000,9687000.000000
28604,-166000.000000,9683000.000000
28605,-162000.000000,9683000.000000
28606,-158000.000000,9683000.000000
28607,-154000.000000,9683000.000000
28608,-150000.000000,9683000.000000
28609,-146000.000000,9683000.000000
28610,-142000.000000,9683000.000000
28611,-138000.000000,9683000.000000
28612,-134000.000000,9683000.000000
28613,-130000.000000,9683000.000000
28614,-126000.000000,9683000.000000
28615,-122000.000000,9683000.000000
28616,-118000.000000,9683000.000000
28617,-114000.000000,9683000.000000
28618,-110000.000000,9683000.000000
28619,-106000.000000,9683000.000000
28620,-102000.000000,9683000.000000
28621,-98000.000000,9683000.000000
28622,-94000.000000,9683000.000000
29124,-166000.000000,9679000.000000
29125,-162000.000000,9679000.000000
29126,-158000.000000,9679000.000000
29127,-154000.000000,9679000.000000
29128,-150000.000000,9679000.000000
29129,-146000.000000,9679000.000000
29130,-142000.000000,9679000.000000
29131,-138000.000000,9679000.000000
29132,-134000.000000,9679000.000000
29133,-130000.000000,9679000.000000
29134,-126000.000000,9679000.000000
29135,-122000.000000,9679000.000000
29136,-118000.000000,9679000.000000
29137,-114000.000000,9679000.000000
29138,-110000.000000,9679000.000000
29139,-106000.000000,9679000.000000
29140,-102000.000000,9679000.000000
29141,-98000.000000,9679000.000000
29142,-94000.000000,9679000.000000
29143,-90000.000000,9679000.000000
29144,-86000.000000,9679000.000000
29644,-166000.000000,9675000.000000
29645,-162000.000000,9675000.000000
29646,-158000.000000,9675000.000000
29647,-154000.000000,9675000.000000
29648,-150000.000000,9675000.000000
29649,-146000.000000,9675000.000000
29650,-142000.000000,9675000.000000
29651,-138000.000000,9675000.000000
29652,-134000.000000,9675000.000000
29653,-130000.000000,9675000.000000
29654,-126000.000000,9675000.000000
29655,-122000.000000,9675000.000000
29656,-118000.000000,9675000.000000
29657,-114000.000000,9675000.000000
29658,-110000.000000,9675000.000000
29659,-106000.000000,9675000.000000
29660,-102000.000000,9675000.000000
29661,-98000.000000,9675000.000000
29662,-94000.000000,9675000.000000
29663,-90000.000000,9675000.000000
29664,-86000.000000,9675000.000000
29665,-82000.000000,9675000.000000
29666,-78000.000000,9675000.000000
30164,-166000.000000,9671000.000000
30165,-162000.000000,9671000.000000
30166,-158000.000000,9671000.000000
30167,-154000.000000,9671000.000000
30168,-150000.000000,9671000.000000
30169,-146000.000000,9671000.000000
30170,-142000.000000,9671000.000000
30171,-138000.000000,9671000.000000
30172,-134000.000000,9671000.000000
30173,-130000.000000,9671000.000000
30174,-126000.000000,9671000.000000
30175,-122000.000000,9671000.000000
30176,-118000.000000,9671000.000000
30177,-114000.000000,9671000.000000
30178,-110000.000000,9671000.000000
30179,-106000.000000,9671000.000000
30180,-102000.000000,9671000.000000
30181,-98000.000000,9671000.000000
30182,-94000.000000,9671000.000000
30183,-90000.000000,9671000.000000
30184,-86000.000000,9671000.000000
30185,-82000.000000,9671000.000000
30186,-78000.000000,9671000.000000
30187,-74000.000000,9671000.000000
30684,-166000.000000,9667000.000000
30685,-162000.000000,9667000.000000
30686,-158000.000000,9667000.000000
30687,-154000.000000,9667000.000000
30688,-150000.000000,9667000.000000
30689,-146000.000000,9667000.000000
30690,-142000.000000,9667000.000000
30691,-138000.000000,9667000.000000
30692,-134000.000000,9667000.000000
30693,-130000.000000,9667000.000000
30694,-126000.000000,9667000.000000
30695,-122000.000000,9667000.000000
30696,-118000.000000,9667000.000000
30697,-114000.000000,9667000.000000
30698,-110000.000000,9667000.000000
30699,-106000.000000,9667000.000000
30700,-102000.000000,9667000.000000
30701,-98000.000000,9667000.000000
30702,-94000.000000,9667000.000000
30703,-90000.000000,9667000.000000
30704,-86000.000000,9667000.000000
30705,-82000.000000,9667000.000000
30706,-78000.000000,9667000.000000
30707,-74000.000000,9667000.000000
30708,-70000.000000,9667000.000000
30709,-66000.000000,9667000.000000
30710,-62000.000000,9667000.000000
30711,-58000.000000,9667000.000000
30712,-54000.000000,9667000.000000
31204,-166000.000000,9663000.000000
31205,-162000.000000,9663000.000000
31206,-158000.000000,9663000.000000
31207,-154000.000000,9663000.000000
31208,-150000.000000,9663000.000000
31209,-146000.000000,9663000.000000
31210,-142000.000000,9663000.000000
31211,-138000.000000,9663000.000000
31212,-134000.000000,9663000.000000
31213,-130000.000000,9663000.000000
31214,-126000.000000,9663000.000000
31215,-122000.000000,9663000.000000
31216,-118000.000000,9663000.000000
31217,-114000.000000,9663000.000000
31218,-110000.000000,9663000.000000
31219,-106000.000000,9663000.000000
31220,-102000.000000,9663000.000000
31221,-98000.000000,9663000.000000
31222,-94000.000000,9663000.000000
31223,-90000.000000,9663000.000000
31224,-86000.000000,9663000.000000
31225,-82000.000000,9663000.000000
31226,-78000.000000,9663000.000000
31227,-74000.000000,9663000.000000
31228,-70000.000000,9663000.000000
31229,-66000.000000,9663000.000000
31230,-62000.000000,9663000.000000
31231,-58000.000000,9663000.000000
31232,-54000.000000,9663000.000000
31233,-50000.000000,9663000.000000
31724,-166000.000000,9659000.000000
31725,-162000.000000,9659000.000000
31726,-158000.000000,9659000.000000
31727,-154000.000000,9659000.000000
31728,-150000.000000,9659000.000000
31729,-146000.000000,9659000.000000
31730,-142000.000000,9659000.000000
31731,-138000.000000,9659000.000000
31732,-134000.000000,9659000.000000
31733,-130000.000000,9659000.000000
31734,-126000.000000,9659000.000000
31735,-122000.000000,9659000.000000
31736,-118000.000000,9659000.000000
31737,-114000.000000,9659000.000000
31738,-110000.000000,9659000.000000
31739,-106000.000000,9659000.000000
31740,-102000.000000,9659000.000000
31741,-98000.000000,9659000.000000
31742,-94000.000000,9659000.000000
31743,-90000.000000,9659000.000000
31744,-86000.000000,9659000.000000
31745,-82000.000000,9659000.000000
31746,-78000.000000,9659000.000000
31747,-74000.000000,9659000.000000
31748,-70000.000000,9659000.000000
31749,-66000.000000,9659000.000000
31750,-62000.000000,9659000.000000
31751,-58000.000000,9659000.000000
31752,-54000.000000,9659000.000000
31753,-50000.000000,9659000.000000
31754,-46000.000000,9659000.000000
31755,-42000.000000,9659000.000000
32244,-166000.000000,9655000.000000
32245,-162000.000000,9655000.000000
32246,-158000.000000,9655000.000000
32247,-154000.000000,9655000.000000
32248,-150000.000000,9655000.000000
32249,-146000.000000,9655000.000000
32250,-142000.000000,9655000.000000
32251,-138000.000000,9655000.000000
32252,-134000.000000,9655000.000000
32253,-130000.000000,9655000.000000
32254,-126000.000000,9655000.000000
32255,-122000.000000,9655000.000000
32256,-118000.000000,9655000.000000
32257,-114000.000000,9655000.000000
32258,-110000.000000,9655000.000000
