"ID,N,10,0","XCOORD,N,21,6","YCOORD,N,21,6"
7002,786000.000000,9851000.000000
7003,790000.000000,9851000.000000
7521,782000.000000,9847000.000000
7522,786000.000000,9847000.000000
7523,790000.000000,9847000.000000
7524,794000.000000,9847000.000000
8041,782000.000000,9843000.000000
8042,786000.000000,9843000.000000
8043,790000.000000,9843000.000000
8044,794000.000000,9843000.000000
8045,798000.000000,9843000.000000
8562,786000.000000,9839000.000000
8563,790000.000000,9839000.000000
8564,794000.000000,9839000.000000
8565,798000.000000,9839000.000000
9083,790000.000000,9835000.000000
9084,794000.000000,9835000.000000
9085,798000.000000,9835000.000000
9605,798000.000000,9831000.000000
9606,802000.000000,9831000.000000
10123,790000.000000,9827000.000000
11692,826000.000000,9815000.000000
11693,830000.000000,9815000.000000
22098,850000.000000,9735000.000000
22099,854000.000000,9735000.000000
22100,858000.000000,9735000.000000
22616,842000.000000,9731000.000000
22617,846000.000000,9731000.000000
22618,850000.000000,9731000.000000
22619,854000.000000,9731000.000000
22620,858000.000000,9731000.000000
22621,862000.000000,9731000.000000
22622,866000.000000,9731000.000000
22623,870000.000000,9731000.000000
23134,834000.000000,9727000.000000
23135,838000.000000,9727000.000000
23136,842000.000000,9727000.000000
23137,846000.000000,9727000.000000
23138,850000.000000,9727000.000000
23139,854000.000000,9727000.000000
23140,858000.000000,9727000.000000
23141,862000.000000,9727000.000000
23142,866000.000000,9727000.000000
23143,870000.000000,9727000.000000
23144,874000.000000,9727000.000000
23147,886000.000000,9727000.000000
23653,830000.000000,9723000.000000
23654,834000.000000,9723000.000000
23655,838000.000000,9723000.000000
23656,842000.000000,9723000.000000
23657,846000.000000,9723000.000000
23658,850000.000000,9723000.000000
23659,854000.000000,9723000.000000
23660,858000.000000,9723000.000000
23661,862000.000000,9723000.000000
23662,866000.000000,9723000.000000
23663,870000.000000,9723000.000000
23664,874000.000000,9723000.000000
23665,878000.000000,9723000.000000
23666,882000.000000,9723000.000000
23668,890000.000000,9723000.000000
24176,842000.000000,9719000.000000
24177,846000.000000,9719000.000000
24178,850000.000000,9719000.000000
24179,854000.000000,9719000.000000
24180,858000.000000,9719000.000000
24181,862000.000000,9719000.000000
24182,866000.000000,9719000.000000
24183,870000.000000,9719000.000000
24184,874000.000000,9719000.000000
24185,878000.000000,9719000.000000
24186,882000.000000,9719000.000000
24697,846000.000000,9715000.000000
24698,850000.000000,9715000.000000
24699,854000.000000,9715000.000000
24700,858000.000000,9715000.000000
24701,862000.000000,9715000.000000
24702,866000.000000,9715000.000000
24703,870000.000000,9715000.000000
24704,874000.000000,9715000.000000
24705,878000.000000,9715000.000000
24706,882000.000000,9715000.000000
