"ID,N,10,0","XCOORD,N,21,6","YCOORD,N,21,6"
59284,-166000.000000,9447000.000000
59285,-162000.000000,9447000.000000
59804,-166000.000000,9443000.000000
59805,-162000.000000,9443000.000000
59806,-158000.000000,9443000.000000
59807,-154000.000000,9443000.000000
59808,-150000.000000,9443000.000000
60324,-166000.000000,9439000.000000
60325,-162000.000000,9439000.000000
60326,-158000.000000,9439000.000000
60327,-154000.000000,9439000.000000
60328,-150000.000000,9439000.000000
60329,-146000.000000,9439000.000000
60330,-142000.000000,9439000.000000
60331,-138000.000000,9439000.000000
60844,-166000.000000,9435000.000000
60845,-162000.000000,9435000.000000
60846,-158000.000000,9435000.000000
60847,-154000.000000,9435000.000000
60848,-150000.000000,9435000.000000
60849,-146000.000000,9435000.000000
60850,-142000.000000,9435000.000000
60851,-138000.000000,9435000.000000
60852,-134000.000000,9435000.000000
60853,-130000.000000,9435000.000000
60854,-126000.000000,9435000.000000
61364,-166000.000000,9431000.000000
61365,-162000.000000,9431000.000000
61366,-158000.000000,9431000.000000
61367,-154000.000000,9431000.000000
61368,-150000.000000,9431000.000000
61369,-146000.000000,9431000.000000
61370,-142000.000000,9431000.000000
61371,-138000.000000,9431000.000000
61372,-134000.000000,9431000.000000
61373,-130000.000000,9431000.000000
61374,-126000.000000,9431000.000000
61375,-122000.000000,9431000.000000
61376,-118000.000000,9431000.000000
61377,-114000.000000,9431000.000000
61884,-166000.000000,9427000.000000
61885,-162000.000000,9427000.000000
61886,-158000.000000,9427000.000000
61887,-154000.000000,9427000.000000
61888,-150000.000000,9427000.000000
61889,-146000.000000,9427000.000000
61890,-142000.000000,9427000.000000
61891,-138000.000000,9427000.000000
61892,-134000.000000,9427000.000000
61893,-130000.000000,9427000.000000
61894,-126000.000000,9427000.000000
61895,-122000.000000,9427000.000000
61896,-118000.000000,9427000.000000
61897,-114000.000000,9427000.000000
61898,-110000.000000,9427000.000000
61899,-106000.000000,9427000.000000
61900,-102000.000000,9427000.000000
62404,-166000.000000,9423000.000000
62405,-162000.000000,9423000.000000
62406,-158000.000000,9423000.000000
62407,-154000.000000,9423000.000000
62408,-150000.000000,9423000.000000
62409,-146000.000000,9423000.000000
62410,-142000.000000,9423000.000000
62411,-138000.000000,9423000.000000
62412,-134000.000000,9423000.000000
62413,-130000.000000,9423000.000000
62414,-126000.000000,9423000.000000
62415,-122000.000000,9423000.000000
62416,-118000.000000,9423000.000000
62417,-114000.000000,9423000.000000
62418,-110000.000000,9423000.000000
62419,-106000.000000,9423000.000000
62420,-102000.000000,9423000.000000
62421,-98000.000000,9423000.000000
62422,-94000.000000,9423000.000000
62423,-90000.000000,9423000.000000
62924,-166000.000000,9419000.000000
62925,-162000.000000,9419000.000000
62926,-158000.000000,9419000.000000
62927,-154000.000000,9419000.000000
62928,-150000.000000,9419000.000000
62929,-146000.000000,9419000.000000
62930,-142000.000000,9419000.000000
62931,-138000.000000,9419000.000000
62932,-134000.000000,9419000.000000
62933,-130000.000000,9419000.000000
62934,-126000.000000,9419000.000000
62935,-122000.000000,9419000.000000
62936,-118000.000000,9419000.000000
62937,-114000.000000,9419000.000000
62938,-110000.000000,9419000.000000
62939,-106000.000000,9419000.000000
62940,-102000.000000,9419000.000000
62941,-98000.000000,9419000.000000
62942,-94000.000000,9419000.000000
62943,-90000.000000,9419000.000000
62944,-86000.000000,9419000.000000
62945,-82000.000000,9419000.000000
62946,-78000.000000,9419000.000000
63444,-166000.000000,9415000.000000
63445,-162000.000000,9415000.000000
63446,-158000.000000,9415000.000000
63447,-154000.000000,9415000.000000
63448,-150000.000000,9415000.000000
63449,-146000.000000,9415000.000000
63450,-142000.000000,9415000.000000
63451,-138000.000000,9415000.000000
63452,-134000.000000,9415000.000000
63453,-130000.000000,9415000.000000
63454,-126000.000000,9415000.000000
63455,-122000.000000,9415000.000000
63456,-118000.000000,9415000.000000
63457,-114000.000000,9415000.000000
63458,-110000.000000,9415000.000000
63459,-106000.000000,9415000.000000
63460,-102000.000000,9415000.000000
63461,-98000.000000,9415000.000000
63462,-94000.000000,9415000.000000
63463,-90000.000000,9415000.000000
63464,-86000.000000,9415000.000000
63465,-82000.000000,9415000.000000
63466,-78000.000000,9415000.000000
63467,-74000.000000,9415000.000000
63468,-70000.000000,9415000.000000
63469,-66000.000000,9415000.000000
63965,-162000.000000,9411000.000000
63966,-158000.000000,9411000.000000
63967,-154000.000000,9411000.000000
63968,-150000.000000,9411000.000000
63969,-146000.000000,9411000.000000
63970,-142000.000000,9411000.000000
63971,-138000.000000,9411000.000000
63972,-134000.000000,9411000.000000
63973,-130000.000000,9411000.000000
63974,-126000.000000,9411000.000000
63975,-122000.000000,9411000.000000
63976,-118000.000000,9411000.000000
63977,-114000.000000,9411000.000000
63978,-110000.000000,9411000.000000
63979,-106000.000000,9411000.000000
63980,-102000.000000,9411000.000000
63981,-98000.000000,9411000.000000
63982,-94000.000000,9411000.000000
63983,-90000.000000,9411000.000000
63984,-86000.000000,9411000.000000
63985,-82000.000000,9411000.000000
63986,-78000.000000,9411000.000000
63987,-74000.000000,9411000.000000
63988,-70000.000000,9411000.000000
63989,-66000.000000,9411000.000000
63990,-62000.000000,9411000.000000
63991,-58000.000000,9411000.000000
63992,-54000.000000,9411000.000000
64485,-162000.000000,9407000.000000
64486,-158000.000000,9407000.000000
64487,-154000.000000,9407000.000000
64488,-150000.000000,9407000.000000
64489,-146000.000000,9407000.000000
64490,-142000.000000,9407000.000000
64491,-138000.000000,9407000.000000
64492,-134000.000000,9407000.000000
