ID,ADM1_CODE,ADM1_NAME,XCOORD,YCOORD,ELEVATION,SLOPE,ASPECT
31400,2728,Galicia,-7.935691,43.7448,0,0,0
31500,2728,Galicia,-7.886194,43.746932,295,14.20737,111.91486
31900,2728,Galicia,-7.688152,43.755246,0,0,0
59700,2728,Galicia,-8.031658,43.704595,231,15.50761,167.92471
59800,2728,Galicia,-7.982201,43.706767,208,16.83701,354.11139
59900,2728,Galicia,-7.932739,43.708918,463,8.3811,193.7816
60000,2728,Galicia,-7.883271,43.711047,181,7.23161,90
60200,2728,Galicia,-7.784319,43.715242,100,8.45634,212.39139
60300,2728,Galicia,-7.734835,43.717307,164,12.18261,66.80141
60400,2728,Galicia,-7.685346,43.719351,56,11.65802,157.29364
60500,2728,Galicia,-7.635852,43.721374,56,5.56508,100.37585
60700,2728,Galicia,-7.536848,43.725355,83,6.55227,23.55226
60800,2728,Galicia,-7.487338,43.727313,0,0,0
88200,2728,Galicia,-8.028652,43.668718,49,9.35685,304.992
88300,2728,Galicia,-7.979225,43.670888,402,3.55657,2.48956
88400,2728,Galicia,-7.929791,43.673036,452,5.73543,323.74615
88600,2728,Galicia,-7.830909,43.677267,106,7.114,51.14663
88700,2728,Galicia,-7.78146,43.679351,144,12.4275,332.65012
88800,2728,Galicia,-7.732005,43.681414,410,18.96761,36.37482
88900,2728,Galicia,-7.682545,43.683456,287,8.78948,282.09476
89000,2728,Galicia,-7.63308,43.685476,116,10.5193,59.89347
89100,2728,Galicia,-7.58361,43.687474,31,11.87134,10.73267
89200,2728,Galicia,-7.534135,43.689452,132,2.52359,152.65012
89300,2728,Galicia,-7.484655,43.691408,33,3.81482,328.24051
89400,2728,Galicia,-7.43517,43.693342,10,0,0
116500,2728,Galicia,-8.124432,43.628444,104,6.43272,196.69925
116600,2728,Galicia,-8.075045,43.630653,162,8.68395,314.28384
116700,2728,Galicia,-8.025652,43.632841,203,14.53318,358.80652
116800,2728,Galicia,-7.976253,43.635007,254,9.63793,36.59663
116900,2728,Galicia,-7.92685,43.637153,208,7.93436,111.59531
117000,2728,Galicia,-7.87744,43.639277,204,9.65942,291.8858
117100,2728,Galicia,-7.828026,43.641379,218,14.65186,343.81079
117200,2728,Galicia,-7.778605,43.643461,403,21.90619,161.2001
117300,2728,Galicia,-7.72918,43.645521,380,4.71172,58.3925
117400,2728,Galicia,-7.67975,43.64756,270,23.58135,205.85187
117500,2728,Galicia,-7.630314,43.649577,142,3.36566,121.86598
117600,2728,Galicia,-7.580873,43.651573,262,15.38369,227.38594
117700,2728,Galicia,-7.531427,43.653548,379,7.27278,349.64093
117800,2728,Galicia,-7.481977,43.655502,288,13.08549,115.82099
117900,2728,Galicia,-7.432521,43.657434,198,17.20988,348.69006
118000,2728,Galicia,-7.38306,43.659345,210,2.08018,41.98721
144900,2728,Galicia,-8.170732,43.590344,48,2.69948,336.37061
145000,2728,Galicia,-8.121379,43.592572,286,8.79277,57.83561
145100,2728,Galicia,-8.072021,43.594778,188,3.03626,345.25644
145200,2728,Galicia,-8.022657,43.596963,273,2.10302,197.10272
145300,2728,Galicia,-7.973288,43.599127,233,8.69196,150.9454
145400,2728,Galicia,-7.923913,43.60127,135,0.88178,285.25513
145500,2728,Galicia,-7.874533,43.603391,147,9.57496,230.19443
145600,2728,Galicia,-7.825147,43.605491,405,6.82022,286.38953
145700,2728,Galicia,-7.775757,43.60757,448,6.2884,30.96376
145800,2728,Galicia,-7.72636,43.609627,220,3.39384,348.17853
145900,2728,Galicia,-7.676959,43.611664,456,3.7153,110.69545
146000,2728,Galicia,-7.627553,43.613679,290,11.91928,290.98489
146100,2728,Galicia,-7.578141,43.615672,31,4.72303,274.68591
146200,2728,Galicia,-7.528725,43.617645,324,4.52816,240.37625
146300,2728,Galicia,-7.479303,43.619596,315,6.28653,17.10273
146400,2728,Galicia,-7.429876,43.621526,285,7.82704,97.33438
146500,2728,Galicia,-7.380445,43.623434,415,9.4122,142.94347
146600,2728,Galicia,-7.331009,43.625322,22,1.38329,63.43495
173200,2728,Galicia,-8.266285,43.549961,42,7.73101,311.77548
173300,2728,Galicia,-8.216973,43.552228,92,0.7887,11.30993
173400,2728,Galicia,-8.167655,43.554474,95,0.24458,341.56506
173500,2728,Galicia,-8.118332,43.556699,356,2.66165,25.82099
173600,2728,Galicia,-8.069003,43.558903,185,9.51337,182.77022
173700,2728,Galicia,-8.019668,43.561085,294,2.7346,227.2906
173800,2728,Galicia,-7.970328,43.563246,261,2.98279,343.44293
173900,2728,Galicia,-7.920982,43.565386,296,5.6284,336.59531
174000,2728,Galicia,-7.871631,43.567505,249,17.02284,344.92212
174100,2728,Galicia,-7.822275,43.569602,489,2.54947,255.96376
174200,2728,Galicia,-7.772913,43.571678,540,10.55185,69.20097
174300,2728,Galicia,-7.723546,43.573733,372,10.27098,303.45331
174400,2728,Galicia,-7.674174,43.575767,232,17.67591,358.54364
174500,2728,Galicia,-7.624797,43.57778,228,18.95456,320.74228
174600,2728,Galicia,-7.575414,43.579771,331,12.09865,310.91437
174700,2728,Galicia,-7.526027,43.581741,569,8.05103,246.37062
174800,2728,Galicia,-7.476634,43.58369,688,6.49278,112.30621
174900,2728,Galicia,-7.427237,43.585617,494,20.67726,205.19022
